Chapter,Raw_Title,English_Title,Raw_Characters,Raw_Words,Raw_Lines,English_Characters,English_Words,English_Lines,AI_Characters,AI_Words,AI_Lines,BERT_Similarity,Eng_Raw_Ratio,AI_Raw_Ratio,Raw_File,English_File
1,冷风如刀，大雪纷飞。,Chapter 1: The Dao Has No Mercy,3957,3356,113,16930,3049,127,14996,2658,223,0.7499,0.91,0.79,novel_content_dxmwx_complete/Chapter-0001-第一章 道法无情.txt,english_chapters/English-Chapter-0001.txt
2,枯荣街末端就是一片富人区。,Chapter 2: Cheating Device,3221,2652,137,12937,2331,118,11998,2127,137,0.8546,0.88,0.8,novel_content_dxmwx_complete/Chapter-0002-第二章 作弊器.txt,english_chapters/English-Chapter-0002.txt
3,“是幻觉？不是幻觉？”,Chapter 3: Black Tiger Saber Technique (1),3378,2787,133,13681,2445,104,12725,2277,133,0.809,0.88,0.82,novel_content_dxmwx_complete/Chapter-0003-第三章 黑虎刀法 上.txt,english_chapters/English-Chapter-0003.txt
4,“这是我早年遇到的一游方道人，传授于我的粗浅刀法，在江湖上，能称得上三流。,Chapter 4: Black Tiger Saber Technique (2),3263,2707,134,13258,2289,113,12461,2165,265,0.687,0.85,0.8,novel_content_dxmwx_complete/Chapter-0004-第四章 黑虎刀法 下.txt,english_chapters/English-Chapter-0004.txt
5,“练武？”,Chapter 5: Heroic Courage,3515,2960,138,15488,2760,127,12945,2238,265,0.8659,0.93,0.76,novel_content_dxmwx_complete/Chapter-0005-第五章 勇武.txt,english_chapters/English-Chapter-0005.txt
6,这一刀又快又狠，几乎像是演练了无数遍一般。,Chapter 6: Black Meeting,3176,2627,128,13393,2394,112,12224,2157,128,0.8399,0.91,0.82,novel_content_dxmwx_complete/Chapter-0006-第六章 黑会.txt,english_chapters/English-Chapter-0006.txt
7,“安排那是一定的。只是.....”,Chapter 7: Meeting (1),3166,2614,130,11987,2089,115,11194,1933,137,0.7939,0.8,0.74,novel_content_dxmwx_complete/Chapter-0007-第七章 会场 一.txt,english_chapters/English-Chapter-0007.txt
8,“不清楚，老爷昨日叫了商会的大小商头们都来府里了。我听他们临走时在聊，说是要大家一起帮忙找，也不知是什么东西，居然要动用这么大的关系。”,Chapter 8: Meeting (2),3171,2643,120,13073,2350,95,11813,2081,237,0.7635,0.89,0.79,novel_content_dxmwx_complete/Chapter-0008-第八章 会场 二.txt,english_chapters/English-Chapter-0008.txt
9,“接下来，便是一本传说中大家都熟知的内功秘籍。当然，是真是假，经过我们的鉴定，不是很清楚。毕竟内功这东西，需要长时间的习练和判断。短时间没法看出真假。,Chapter 9: Duanmu Wan (1),3290,2708,135,13654,2367,113,12596,2101,269,0.6838,0.87,0.78,novel_content_dxmwx_complete/Chapter-0009-第九章 端木婉 一.txt,english_chapters/English-Chapter-0009.txt
10,短刀飞快接近路胜胸口，刀刃将胸前的衣服一刀切断。,Chapter 10: Duanmu Wan (2),2914,2427,124,12894,2260,111,0,0,0,0.0,0.93,0.0,novel_content_dxmwx_complete/Chapter-0010-第十章 端木婉 二.txt,english_chapters/English-Chapter-0010.txt
